Browser, Version, FeaturesSize, FingerprintingApiSize
chrome, 49, 8120, 139
chrome, 50, 6011, 140
chrome, 51, 6054, 141
chrome, 52, 6123, 141
chrome, 53, 6157, 141
chrome, 54, 6208, 141
chrome, 55, 6246, 141
chrome, 56, 6807, 257
chrome, 57, 6987, 259
chrome, 58, 7005, 259
chrome, 59, 7068, 259
chrome, 60, 7197, 259
chrome, 61, 7473, 268
chrome, 62, 7484, 268
chrome, 63, 7503, 269
chrome, 64, 7494, 269
chrome, 65, 7523, 270
chrome, 66, 7788, 270
chrome, 67, 7944, 270
chrome, 68, 8002, 270
chrome, 69, 8716, 271
chrome, 70, 8424, 272
chrome, 71, 8479, 272
chrome, 72, 8511, 272
chrome, 73, 8551, 272
chrome, 74, 8669, 272
chrome, 75, 8735, 272
chrome, 76, 8794, 272
chrome, 77, 8895, 272
chrome, 78, 11668, 272
chrome, 79, 11898, 274
chrome, 80, 11936, 274
chrome, 81, 12170, 274
firefox, 45, 5021, 147
firefox, 46, 5048, 147
firefox, 47, 5058, 147
firefox, 48, 5046, 148
firefox, 49, 5259, 157
firefox, 50, 5427, 157
firefox, 51, 5726, 264
firefox, 52, 5819, 263
firefox, 53, 5844, 273
firefox, 54, 5847, 273
firefox, 55, 5949, 275
firefox, 56, 5951, 275
firefox, 57, 5982, 275
firefox, 58, 5982, 275
firefox, 59, 5955, 276
firefox, 60, 5981, 276
firefox, 61, 5985, 276
firefox, 62, 5978, 276
firefox, 63, 6060, 276
firefox, 64, 6070, 276
firefox, 65, 6112, 276
firefox, 66, 6160, 276
firefox, 67, 6162, 276
firefox, 68, 6196, 276
firefox, 69, 6234, 276
firefox, 70, 6245, 276
firefox, 71, 6321, 276
firefox, 72, 6350, 271
firefox, 73, 6353, 271
firefox, 74, 6321, 271
firefox, 75, 6358, 271